dataset,seed,method,method_label,group,test_f1,test_auc,test_ap,precision,recall,val_f1,metrics_path
ZipZap,45,rule_qwen,GNN + rule + Qwen motif,evidence,0.8967286722257858,0.9785670924831081,0.9630369196802623,0.8836915297092288,0.91015625,0.9163449163449163,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_45/sage_rule_scalar_qwen_motif_channel/metrics.json
ZipZap,46,rule_qwen,GNN + rule + Qwen motif,evidence,0.9053177691309987,0.9825001759572073,0.9638278216045,0.9018087855297158,0.9088541666666666,0.9148797920727745,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_46/sage_rule_scalar_qwen_motif_channel/metrics.json
Illicit-ETH,42,graphsage,Base GraphSAGE,base,0.9433962264150944,0.9857586912065439,0.9872266501883512,0.967741935483871,0.9202453987730062,0.9709923664122138,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_42/sage_no_evidence/metrics.json
Illicit-ETH,43,graphsage,Base GraphSAGE,base,0.9415384615384615,0.9825521472392639,0.9847945209737918,0.9444444444444444,0.9386503067484663,0.9739663093415007,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_43/sage_no_evidence/metrics.json
Illicit-ETH,44,graphsage,Base GraphSAGE,base,0.9511111111111111,0.9895132924335379,0.9886859490709174,0.9197707736389685,0.9846625766871165,0.968944099378882,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_44/sage_no_evidence/metrics.json
Illicit-ETH,45,graphsage,Base GraphSAGE,base,0.9457831325301205,0.9857341513292434,0.984963177187792,0.9289940828402367,0.9631901840490797,0.9690402476780186,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_45/sage_no_evidence/metrics.json
Illicit-ETH,46,graphsage,Base GraphSAGE,base,0.9442724458204335,0.9826912065439674,0.9855234617590399,0.953125,0.9355828220858896,0.9757575757575757,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_46/sage_no_evidence/metrics.json
Illicit-ETH,42,rule,GNN + rule evidence,evidence,0.953416149068323,0.9853087934560326,0.9776289233275185,0.9654088050314465,0.941717791411043,0.9643410852713178,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_42/sage_rule_evidence/metrics.json
Illicit-ETH,43,rule,GNN + rule evidence,evidence,0.9404580152671755,0.9775378323108386,0.9670436120878215,0.9361702127659575,0.9447852760736196,0.9773755656108597,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_43/sage_rule_evidence/metrics.json
Illicit-ETH,44,rule,GNN + rule evidence,evidence,0.9598811292719168,0.9912719836400818,0.9913060353097661,0.930835734870317,0.99079754601227,0.9665653495440729,outputs/paper_5seed_qwen_counter_clean_20260615/Illicit-ETH/seed_44/sage_rule_evidence/metrics.json
