dataset,seed,method,method_label,group,test_f1,test_auc,test_ap,precision,recall,val_f1,metrics_path
Meta,45,graphsage,GraphSAGE,GNN,0.9572192513368984,0.9888223364618215,0.9907993814388397,0.9322916666666666,0.9835164835164835,0.9807162534435262,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_45/sage_no_evidence/metrics.json
Meta,46,graphsage,GraphSAGE,GNN,0.978021978021978,0.9941753525444513,0.9950548739318843,0.978021978021978,0.978021978021978,0.988950276243094,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_46/sage_no_evidence/metrics.json
Meta,42,care_gnn,CARE-GNN,Generic Fraud GNN,0.9550561797752809,0.987690421166816,0.9872911607636157,0.9770114942528736,0.9340659340659341,0.9860724233983287,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/sampled_care_gnn/metrics.json
Meta,43,care_gnn,CARE-GNN,Generic Fraud GNN,0.9752066115702479,0.9940810262698675,0.9955718262553109,0.9779005524861878,0.9725274725274725,0.9917355371900827,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/sampled_care_gnn/metrics.json
Meta,44,care_gnn,CARE-GNN,Generic Fraud GNN,0.9619565217391305,0.9920058482290242,0.9935544731081877,0.9516129032258065,0.9725274725274725,0.9888888888888889,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/sampled_care_gnn/metrics.json
Meta,45,care_gnn,CARE-GNN,Generic Fraud GNN,0.9750692520775623,0.9924774796019431,0.9940648072886701,0.9832402234636871,0.967032967032967,0.9803921568627451,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/sampled_care_gnn/metrics.json
Meta,46,care_gnn,CARE-GNN,Generic Fraud GNN,0.9641873278236914,0.9962505305852946,0.9955391402950914,0.9668508287292817,0.9615384615384616,0.9806094182825484,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/sampled_care_gnn/metrics.json
Meta,42,graphconsis_gnn,GraphConsis,Generic Fraud GNN,0.9526462395543176,0.9878554921473376,0.9868606779323098,0.9661016949152542,0.9395604395604396,0.9834254143646409,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/sampled_graphconsis_gnn/metrics.json
Meta,43,graphconsis_gnn,GraphConsis,Generic Fraud GNN,0.9806094182825484,0.9955666650945619,0.9963999638323644,0.9888268156424581,0.9725274725274725,0.9916897506925207,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/sampled_graphconsis_gnn/metrics.json
Meta,44,graphconsis_gnn,GraphConsis,Generic Fraud GNN,0.9723756906077348,0.9902372305805782,0.9892506220491228,0.9777777777777777,0.967032967032967,0.9888888888888889,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/sampled_graphconsis_gnn/metrics.json
Meta,45,graphconsis_gnn,GraphConsis,Generic Fraud GNN,0.9591280653950953,0.9896476913644296,0.9913972267088621,0.9513513513513514,0.967032967032967,0.9834254143646409,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/sampled_graphconsis_gnn/metrics.json
Meta,46,graphconsis_gnn,GraphConsis,Generic Fraud GNN,0.9725274725274725,0.9963212752912324,0.9957813972686549,0.9725274725274725,0.9725274725274725,0.9860724233983287,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/sampled_graphconsis_gnn/metrics.json
Meta,42,pc_gnn,PC-GNN,Generic Fraud GNN,0.9806094182825484,0.9945762392114323,0.9948656115689735,0.9888268156424581,0.9725274725274725,1.0,outputs/paper_main_baselines_clean_20260615/Meta/seed_42/sampled_pc_gnn/metrics.json
Meta,43,pc_gnn,PC-GNN,Generic Fraud GNN,0.994475138121547,0.9953308494081027,0.997137073452863,1.0,0.989010989010989,0.9972451790633609,outputs/paper_main_baselines_clean_20260615/Meta/seed_43/sampled_pc_gnn/metrics.json
Meta,44,pc_gnn,PC-GNN,Generic Fraud GNN,0.9782608695652174,0.9953780125453945,0.9964577559005267,0.967741935483871,0.989010989010989,0.994475138121547,outputs/paper_main_baselines_clean_20260615/Meta/seed_44/sampled_pc_gnn/metrics.json
Meta,45,pc_gnn,PC-GNN,Generic Fraud GNN,0.9832402234636871,0.9922416639154837,0.9944963868045946,1.0,0.967032967032967,0.9916897506925207,outputs/paper_main_baselines_clean_20260615/Meta/seed_45/sampled_pc_gnn/metrics.json
Meta,46,pc_gnn,PC-GNN,Generic Fraud GNN,0.9888888888888889,0.9995047870584352,0.9994029526704299,1.0,0.978021978021978,0.997229916897507,outputs/paper_main_baselines_clean_20260615/Meta/seed_46/sampled_pc_gnn/metrics.json
Meta,42,zipzap,ZipZap,Ethereum SOTA,0.9405405405405406,0.9930670188180918,0.9922635572734214,0.925531914893617,0.9560439560439561,0.9783783783783784,outputs/paper_sota_baselines_20260615/Meta/seed_42/zipzap/metrics.json
Meta,43,zipzap,ZipZap,Ethereum SOTA,0.9523809523809523,0.990779606659435,0.9904032956650827,0.9183673469387755,0.989010989010989,0.9602122015915119,outputs/paper_sota_baselines_20260615/Meta/seed_43/zipzap/metrics.json
Meta,44,zipzap,ZipZap,Ethereum SOTA,0.9523809523809523,0.9896241097957835,0.9901169987272816,0.9714285714285714,0.9340659340659341,0.9668508287292817,outputs/paper_sota_baselines_20260615/Meta/seed_44/zipzap/metrics.json
Meta,45,zipzap,ZipZap,Ethereum SOTA,0.943089430894309,0.9903551384238081,0.9907095899802043,0.93048128342246,0.9560439560439561,0.9725274725274725,outputs/paper_sota_baselines_20260615/Meta/seed_45/zipzap/metrics.json
Meta,46,zipzap,ZipZap,Ethereum SOTA,0.9526462395543176,0.98766683959817,0.9849793490061839,0.9661016949152542,0.9395604395604396,0.9575070821529745,outputs/paper_sota_baselines_20260615/Meta/seed_46/zipzap/metrics.json
Meta,42,lmae4eth,LMAE4Eth,Ethereum SOTA,0.964769647696477,0.9921473376408998,0.9937145019519572,0.9518716577540107,0.978021978021978,0.9863760217983651,outputs/paper_sota_baselines_20260615/Meta/seed_42/lmae4eth/metrics.json
Meta,43,lmae4eth,LMAE4Eth,Ethereum SOTA,0.978021978021978,0.9933971607791351,0.9949023746185699,0.978021978021978,0.978021978021978,0.9695290858725761,outputs/paper_sota_baselines_20260615/Meta/seed_43/lmae4eth/metrics.json
Meta,44,lmae4eth,LMAE4Eth,Ethereum SOTA,0.9833333333333333,0.9941753525444512,0.9961252002047473,0.9943820224719101,0.9725274725274725,0.9860724233983287,outputs/paper_sota_baselines_20260615/Meta/seed_44/lmae4eth/metrics.json
Meta,45,lmae4eth,LMAE4Eth,Ethereum SOTA,0.9782608695652174,0.988987407442343,0.9918609000063573,0.967741935483871,0.989010989010989,0.9781420765027322,outputs/paper_sota_baselines_20260615/Meta/seed_45/lmae4eth/metrics.json
Meta,46,lmae4eth,LMAE4Eth,Ethereum SOTA,0.9809264305177112,0.9954015941140404,0.9963412735538844,0.972972972972973,0.989010989010989,0.9777777777777777,outputs/paper_sota_baselines_20260615/Meta/seed_46/lmae4eth/metrics.json
Meta,42,bert4eth,BERT4ETH,Ethereum SOTA,0.9591280653950953,0.9904023015610999,0.9912077125802112,0.9513513513513514,0.967032967032967,0.981029810298103,outputs/paper_sota_baselines_20260615/Meta/seed_42/bert4eth/metrics.json
Meta,43,bert4eth,BERT4ETH,Ethereum SOTA,0.959349593495935,0.9898599254822431,0.9885374919262562,0.946524064171123,0.9725274725274725,0.9698630136986301,outputs/paper_sota_baselines_20260615/Meta/seed_43/bert4eth/metrics.json
Meta,44,bert4eth,BERT4ETH,Ethereum SOTA,0.9728260869565217,0.9895533650898457,0.9891884627296564,0.9623655913978495,0.9835164835164835,0.978021978021978,outputs/paper_sota_baselines_20260615/Meta/seed_44/bert4eth/metrics.json
Meta,45,bert4eth,BERT4ETH,Ethereum SOTA,0.9508196721311475,0.9930906003867377,0.992908384383852,0.9456521739130435,0.9560439560439561,0.9806094182825484,outputs/paper_sota_baselines_20260615/Meta/seed_45/bert4eth/metrics.json
Meta,46,bert4eth,BERT4ETH,Ethereum SOTA,0.9722222222222222,0.9967693250955053,0.996455093713342,0.9831460674157303,0.9615384615384616,0.9805013927576601,outputs/paper_sota_baselines_20260615/Meta/seed_46/bert4eth/metrics.json
Meta,42,tlmgnn,TLmGNN,Ethereum SOTA,0.9806094182825484,0.9937037211715324,0.9953628548437777,0.9888268156424581,0.9725274725274725,0.9863013698630136,outputs/paper_sota_baselines_20260615/Meta/seed_42/tlmgnn/metrics.json
Meta,43,tlmgnn,TLmGNN,Ethereum SOTA,0.9782608695652174,0.9934207423477809,0.9947050047326261,0.967741935483871,0.989010989010989,0.9836956521739131,outputs/paper_sota_baselines_20260615/Meta/seed_43/tlmgnn/metrics.json
Meta,44,tlmgnn,TLmGNN,Ethereum SOTA,0.978021978021978,0.9939395368579919,0.9957513013483437,0.978021978021978,0.978021978021978,0.989010989010989,outputs/paper_sota_baselines_20260615/Meta/seed_44/tlmgnn/metrics.json
Meta,45,tlmgnn,TLmGNN,Ethereum SOTA,0.967741935483871,0.9896241097957836,0.9922907466519105,0.9473684210526315,0.989010989010989,0.9863760217983651,outputs/paper_sota_baselines_20260615/Meta/seed_45/tlmgnn/metrics.json
Meta,46,tlmgnn,TLmGNN,Ethereum SOTA,0.9861495844875346,0.9980898929396784,0.9979577095787073,0.994413407821229,0.978021978021978,0.9833333333333333,outputs/paper_sota_baselines_20260615/Meta/seed_46/tlmgnn/metrics.json
Meta,42,bwgnn,BWGNN,Graph Anomaly SOTA,0.958904109589041,0.9946234023487243,0.9942431529904795,0.9562841530054644,0.9615384615384616,0.9781420765027322,outputs/paper_sota_baselines_20260615/Meta/seed_42/bwgnn/metrics.json
Meta,43,bwgnn,BWGNN,Graph Anomaly SOTA,0.9779005524861878,0.9946941470546621,0.993948662476296,0.9833333333333333,0.9725274725274725,0.9807162534435262,outputs/paper_sota_baselines_20260615/Meta/seed_43/bwgnn/metrics.json
Meta,44,bwgnn,BWGNN,Graph Anomaly SOTA,0.9781420765027322,0.9974531905862378,0.9971659408025777,0.9728260869565217,0.9835164835164835,0.9861495844875346,outputs/paper_sota_baselines_20260615/Meta/seed_44/bwgnn/metrics.json
Meta,45,bwgnn,BWGNN,Graph Anomaly SOTA,0.9649595687331537,0.9914398905815216,0.992504465502018,0.9470899470899471,0.9835164835164835,0.9782608695652174,outputs/paper_sota_baselines_20260615/Meta/seed_45/bwgnn/metrics.json
Meta,46,bwgnn,BWGNN,Graph Anomaly SOTA,0.989010989010989,0.9944347497995567,0.9959768665332179,0.989010989010989,0.989010989010989,0.9779005524861878,outputs/paper_sota_baselines_20260615/Meta/seed_46/bwgnn/metrics.json
Meta,42,ours,Ours,Proposed,0.9619565217391305,0.992595387445173,0.9934063420515279,0.9516129032258065,0.9725274725274725,0.9890710382513661,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_42/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,43,ours,Ours,Proposed,0.9863013698630136,0.9954959203886242,0.9971186128794823,0.9836065573770492,0.989010989010989,0.989010989010989,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_43/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,44,ours,Ours,Proposed,0.9726775956284153,0.9935386501910108,0.9948211125263083,0.967391304347826,0.978021978021978,0.9888888888888889,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_44/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,45,ours,Ours,Proposed,0.9672131147540983,0.9922180823468377,0.9936322222703514,0.9619565217391305,0.9725274725274725,0.989010989010989,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_45/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,46,ours,Ours,Proposed,0.9777777777777777,0.9982549639202,0.9980207454571436,0.9887640449438202,0.967032967032967,0.9888888888888889,outputs/paper_5seed_qwen_counter_clean_20260615/Meta/seed_46/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,42,ours_imbalance,Ours+Imbalance,Proposed,0.9779005524861878,0.9941753525444513,0.9948749441403065,0.9833333333333333,0.9725274725274725,0.9972451790633609,outputs/paper_5seed_qwen_counter_clean_pctrain_20260616/Meta/seed_42/sage_rule_scalar_qwen_motif_channel/metrics.json
